"bucket","start_depth","end_depth","mid_depth","von_post_2","bulk_density_g_cm3","particle_density_g_cm3","porosity"
"A",0,5,2.5,1,0.0244638602065131,0.792190494117645,0.96911871527345
"A",5,10,7.5,1,0.0284995808885163,0.876964977777772,0.967502030741599
"A",10,15,12.5,1,0.0297735642090418,0.788480000000006,0.962239290522218
"A",15,20,17.5,1,0.0276041915120291,0.738395063520867,0.962615958751938
"A",20,25,22.5,2,0.0211466769507649,0.811823157894733,0.973951621427499
"A",25,30,27.5,2,0.0243092131917997,0.810960422386478,0.970024168232202
"A",30,35,32.5,2,0.0275233711384236,0.761832928942807,0.963872169221383
"A",35,40,37.5,3,0.0255268144932701,0.773824237918213,0.967012128539752
"A",40,45,42.5,3,0.0316258595256121,0.833555813544424,0.962059097889158
"A",45,50,47.5,3,0.0257369444860093,0.794584361290322,0.967609550678527
"A",50,55,52.5,3,0.0327848532738372,0.910881567445367,0.964007556585227
"A",55,60,57.5,3,0.0447105788423154,0.846997643458298,0.947212865127037
"A",60,65,62.5,3,0.0386654391924066,0.775904561403507,0.950167274281174
"A",65,70,67.5,4,0.0588143281714375,0.986254883720928,0.940365995502559
"A",70,75,72.5,4,0.0830360140215007,1.11834883468835,0.925751240180225
"A",75,80,77.5,4,0.0539767621756355,1.0234913174946,0.947262120104971
"A",80,85,82.5,4,0.0142602829010339,1.24698783454988,0.988564216501614
"A",85,90,87.5,4,0.0511333001165641,1.20358661961892,0.957515895172751
"A",90,95,92.5,4,0.035446988925427,1.18818038781163,0.970166997125148
"A",95,100,97.5,4,0.0382990455056337,1.16450429042904,0.967111288622627
"A",100,105,102.5,4,0.0220015793330237,1.34257951219511,0.983612457114699
"A",105,110,107.5,4,0.0305577490736439,1.24151417341039,0.975386709448751
"A",110,115,112.5,4,0.0305577490736439,1.25461358760429,0.975643696692306
"A",115,120,117.5,4,0.0423734120487862,1.28257684210527,0.966962281979743
"A",120,125,122.5,4,0.0658010196719131,1.1970463526245,0.945030516547963
"A",125,130,127.5,4,0.0829133591531538,1.18714966292135,0.930157618923026
"A",135,140,137.5,5,0.136083842541294,1.1962747037308,0.886243651130553
"A",140,145,142.5,5,0.146677195553491,1.25298059405941,0.882937376485388
"A",145,150,147.5,5,0.166641591614938,1.15919684507042,0.856243922398862
"A",150,155,152.5,5,0.156863111911372,1.24799152317881,0.874307550173242
"A",155,160,157.5,5,0.156659393584215,1.23061599242663,0.872698392879406
"A",160,165,162.5,5,0.164400690016204,1.2564339307049,0.869152936737414
"A",165,170,167.5,5,0.166437873287781,1.24794105741899,0.866630020465862
"A",170,175,172.5,5,0.16134491510884,1.19252915851272,0.864703589042583
"A",175,180,177.5,5,0.160937478454525,1.27172266666666,0.873449233332956
"A",180,185,182.5,5,0.154825928639796,1.28149419434958,0.879183277362893
"A",185,190,187.5,5,0.204940637120572,1.24637049016893,0.835570050208109
"A",190,195,192.5,5,0.228368244743699,1.33453299949925,0.828877783592171
"B",0,5,2.5,1,0.0203335980937252,0.851178409638559,0.976111238415505
"B",5,10,7.5,1,0.0126840532034351,0.788480000000009,0.98391328479678
"B",10,15,12.5,1,0.0147300791349996,0.823488193743694,0.982112580062582
"B",15,20,17.5,1,0.023151902558476,0.83920529801325,0.97241211106116
