"bucket","start_depth","end_depth","mid_depth","von_post_2","bulk_density_g_cm3","particle_density_g_cm3","porosity"
"E",75,80,77.5,3,0.076190654356952,1.36669866666667,0.944252046032372
"E",80,85,82.5,3,0.10471122015902,1.27456072374798,0.917845248007404
"E",85,90,87.5,3,0.101859163578813,1.38466403375527,0.926437633176211
"E",90,95,92.5,3,0.144640012281914,1.36259499392467,0.893849593660029
"E",95,100,97.5,3,0.157270548565687,1.33246640208459,0.881970345879157
"E",100,105,102.5,4,0.175197761355558,1.342241255022,0.869473717411043
"E",105,110,107.5,4,0.156863111911372,1.3389656187291,0.882847543120441
"E",110,115,112.5,4,0.147288350534964,1.33965048543689,0.890054643255006
"E",120,125,122.5,4,0.160326323473052,1.30763192084319,0.877391855523327
"E",125,130,127.5,4,0.162974661726101,1.31944967551623,0.876482851335472
"E",130,135,132.5,4,0.183346494441863,1.3413890734942,0.863315947576446
"E",135,140,137.5,4,0.199643960614473,1.35852230233021,0.853043295445328
"E",140,145,142.5,5,0.204329482139099,1.37095315583955,0.850958086154321
"E",145,150,147.5,5,0.197606777342897,1.32976974983964,0.851397749597833
"E",150,155,152.5,5,0.18966176258375,1.3231065416593,0.856654202354788
"E",155,160,157.5,5,0.199643960614473,1.31363538408543,0.848021785167222
"E",160,165,162.5,5,0.174790324701243,1.30959767945658,0.866531280985644
"E",165,170,167.5,5,0.152381308713904,1.34259412154696,0.886502326899564
"E",170,175,172.5,5,0.150751562096643,1.33452968459269,0.887037685383032
"E",175,180,177.5,5,0.191495227528168,1.32570303077522,0.855551942567266
"E",180,185,182.5,5,0.201273707231735,1.30812216748768,0.846135389924405
